,BRANCH ,LOCATION ,GOOGLE PIN 
MINISO TEAM ,,,
1,SARIT,NAIROBI,https://maps.app.goo.gl/4SQ8miNUSCSn6hsm8 
2,WESTGATE,NAIROBI,https://maps.app.goo.gl/B6sDiULM61ZgBJmm6 
3,HUB,NAIROBI,https://maps.app.goo.gl/R2cEoiXTSszANTK1A 
4,JUNCTION ,NAIROBI,https://maps.app.goo.gl/1vYgAJJUgiTikwCSA 
5,YAYA ,NAIROBI,https://maps.app.goo.gl/cpuLT9BB3EyWeswKA
6,SOUTHFIELD ,NAIROBI,https://maps.app.goo.gl/zp1VQhe1wf2mH8Lv7 
7,BBS ,NAIROBI,https://maps.app.goo.gl/HKZG2Br5XYkEZJdE6
8,GARDEN CITY ,NAIROBI,https://maps.app.goo.gl/PiaC3rue8Lzerhrb9 
9,TRM ,NAIROBI,https://maps.app.goo.gl/k7wCPcNPPzySy8JeA 
10,NORD ,RUIRU,https://maps.app.goo.gl/rfcSC7uXEqaaN1Gv9 
11,RUNDA ,NAIROBI,https://maps.app.goo.gl/WShWUYAbGyvYwaSQ7 
12,TWO RIVERS ,NAIROBI,https://maps.app.goo.gl/GPZ1ZW1C2T9Jjpws5
13,VILLAGE MARKET ,NAIROBI,https://maps.app.goo.gl/bEcLnGRttLHjVLR99 
14,UNITED MALL,KISUMU,https://maps.app.goo.gl/4QSE7WrjNojLRWwBA 
15,RUPAS ,ELDORET,https://maps.app.goo.gl/2nMQfa88h76F4Lgz7 
16,LIKONI ,MOMBASA ,https://maps.app.goo.gl/shdE6DG5JEihH9Qp6
17,CITY MALL,MOMBASA ,https://maps.app.goo.gl/5tru9Ty3Qkh5SrQz6
18,PROMINADE ,MOMBASA ,https://maps.app.goo.gl/9Vm8zfC3YJj1fjgU9
GOODLIFE,,,
1,SARIT,,https://maps.app.goo.gl/4SQ8miNUSCSn6hsm8 
2,VILLAGE MARKET ,,https://maps.app.goo.gl/bEcLnGRttLHjVLR99 
3,GARDEN CITY ,,https://maps.app.goo.gl/PiaC3rue8Lzerhrb9 
4,TRM ,,https://maps.app.goo.gl/k7wCPcNPPzySy8JeA 
AURORA,,,
1,CAPITAL CENTER,,https://maps.app.goo.gl/fHPViV4h8ZwQghJQ9 
